,Track_ID,alpha,D_fit,kurtosis,asymmetry1,asymmetry2,asymmetry3,AR,elongation,boundedness,fractal_dim,trappedness,efficiency,straightness,MSD_ratio,frames,X,Y,Quality,Mean_Intensity,SN_Ratio,Deff1,Deff2,angle_mean,angle_mag_mean,angle_var,convex_hull,convex_hull_norm,dist_tot,dist_net,progression,Mean alpha,Std alpha,Mean D_fit,Std D_fit,Mean kurtosis,Std kurtosis,Mean asymmetry1,Std asymmetry1,Mean asymmetry2,Std asymmetry2,Mean asymmetry3,Std asymmetry3,Mean AR,Std AR,Mean elongation,Std elongation,Mean boundedness,Std boundedness,Mean fractal_dim,Std fractal_dim,Mean trappedness,Std trappedness,Mean efficiency,Std efficiency,Mean straightness,Std straightness,Mean MSD_ratio,Std MSD_ratio,Mean frames,Std frames,Mean X,Std X,Mean Y,Std Y,Mean Quality,Std Quality,Mean Mean_Intensity,Std Mean_Intensity,Mean SN_Ratio,Std SN_Ratio,Mean Deff1,Std Deff1,Mean Deff2,Std Deff2,Mean angle_mean,Std angle_mean,Mean angle_mag_mean,Std angle_mag_mean,Mean angle_var,Std angle_var,Mean convex_hull,Std convex_hull,Mean convex_hull_norm,Std convex_hull_norm,Mean dist_tot,Std dist_tot,Mean dist_net,Std dist_net,Mean progression,Std progression
1800,1800.0,0.7037562673315472,14.724794990341922,2.1774249176974823,0.9924457312447681,0.04354003237946451,0.5447873400390038,4.4087319908420906,0.7731774119911983,0.03719707580280981,1.466187112501925,-0.21586676644232416,0.2798837850209551,0.13464327949130506,0.03953289940610344,25.0,943.7084875262149,405.8950923937497,6.410728149412199,373.29069767446,0.97867752630904,7.365089282067709,,-13.449777901812089,85.22458740501185,3533.5637920819554,0.0,0.0,18298.780388883628,757.5912899400538,0.04140119034382667,1.2345942399507774,1.0477690582815804,4.269637327695936,4.30632827878969,2.6677511092340414,1.0630452414385547,0.8429691051078912,0.22761510694566411,0.1799056384980873,0.1691177359942,0.3463705529258722,0.16915195385113266,2.6415065081800053,0.9159229071970159,0.5708988589492625,0.15658631811875715,0.10846582006790545,0.10192266150017609,1.7319928391849464,0.40110964174325286,-0.19468365428891332,0.03018030550557082,1.1167555254968824,1.0083716723873941,0.262245729856904,0.14645148241701597,0.23253253425613188,0.43260507248895597,29.88235294117647,22.936952854038257,966.0709845877745,35.63617669214542,438.1795358437386,34.54946152783306,5.38429984094441,1.295889271054246,,,0.8646120500556114,0.2170789378638947,5.299818534836569,5.383226684753133,,,-4.863711071590115,28.740793091820116,76.82352795628684,20.239847892443667,3736.6590556229144,861.8014339823916,0.0,0.0,0.0,0.0,21254.28916123228,16800.890983258094,744.7446192390595,52.19494252963901,0.05900650823501419,0.03963518386633452
1801,1801.0,0.008961269465181075,48.8856485153692,4.528124323453238,0.7540941655478351,0.26541033048107887,0.18452257171768455,1.2333820856891544,0.18922123841190042,0.12609104347220432,1.8829644353116977,-0.18902032601273833,0.05726322328719544,0.06683517128732508,1.4523265664761835,16.0,614.6962879577533,168.9817858838689,4.8971433639525,351.0436046511563,0.7709777057795937,6.082383002287786,,7.323262392706287,70.1773351390848,3593.16514040626,0.0,0.0,9477.159192451501,648.0871134270917,0.06838411176455589,0.6957928596323167,0.658069033651167,23.7987430062652,21.364032468003234,2.672775001694672,1.3093290787094307,0.8229254179730007,0.18424737707812208,0.18848425445236253,0.14137324048163533,0.33064660365264437,0.18915183512974124,2.7349246983687507,1.6680556890282643,0.5179873739854405,0.2161486504041604,0.15146209872362373,0.06526098543114102,1.7042519334821415,0.3820083938256852,-0.1816259533456602,0.019328602434651693,0.9350841526809076,0.9381484376906257,0.2890781184116437,0.1791553416116355,1.9548617876334895,5.526355563760701,15.25,5.775306629666226,576.4715594473374,36.82836907305984,203.65721606624174,24.848125006858325,6.215980603158923,1.402921482707474,,,0.8747619105954376,0.1295347359993834,8.962483710179438,7.748835550246937,,,-12.353295904327014,24.436079626675866,74.35780081517682,18.633528817437842,3276.642873269943,868.9002644619476,0.0,0.0,0.0,0.0,7412.78188920912,2824.63799487041,528.4188776265865,57.35203104288951,0.08183714868269346,0.029602946488606924
1802,1802.0,1.2973545158549742,3.99758063090431,1.5141690578604923,0.9776080014676541,0.07524337815315395,0.46177810495060706,2.7891752237418017,0.6414710730656585,0.04134628837894816,1.4237798501366037,-0.21460030154455478,1.7018681043255786,0.3449228059051489,-0.03801389446715954,25.0,518.2131416463591,45.4597094180124,6.7537774658225995,359.67581395344,1.0616459931225801,7.847333458887393,,-20.904439598818595,76.93592403592847,3100.296885220052,0.0,0.0,16103.073008204448,675.5261917508271,0.04195014152929999,1.6200543731170638,1.5583379477781873,4.778708975996389,3.6143437811587944,2.744021983319112,0.9451838313079747,0.7918348428811623,0.18515912003104462,0.21524902907973548,0.13708082616184927,0.2880273278461115,0.16556395608774657,2.4084450029408804,1.197788344359043,0.47155008002268195,0.23538426481448185,0.11195473366293848,0.0907719621785269,1.6834699849834645,0.3444937676754788,-0.1935587142553229,0.0270753796583901,1.4435627196171947,1.285129392589091,0.29401279091226956,0.10309074064938925,0.18194582352165256,0.295221449887283,23.5,8.902246907382429,572.4844605892529,55.284323229356836,64.14151678760247,21.464013974559723,6.004826726432241,0.9213144358964384,,,0.8757107206341495,0.22683539575360667,3.753391721729371,2.3728488746832084,,,17.48145308765067,33.57161180274103,89.55579912262863,33.95351717891969,3427.124889391675,817.4500263300744,0.0,0.0,0.0,0.0,16141.39291203701,6935.945238353288,719.9082817503681,48.3795155530106,0.05463054177993382,0.027050250870669333
1803,1803.0,0.16533487985299491,35.82251533253991,1.5100384388444306,0.858271597042426,0.19542284394467152,0.25682562547423143,1.5517920405881396,0.3555837548818762,0.24473412589761342,1.8276362339482835,-0.15411074489883547,0.013883530417970448,0.049048246009956845,0.2712369603108792,9.0,843.1055912653825,41.972968178226154,6.521908230255,369.8639104220556,0.9193131357905001,,,15.359191350448974,60.57687702724901,2485.8940441506875,0.0,0.0,9026.52854128616,1151.5057398090805,0.1275690576440593,1.1007852715305986,1.130813374039002,9.955867166494535,11.879269951289,2.747474222975139,1.1295368923629665,0.6607279228648296,0.28070388598768503,0.3054077293014142,0.19527768462207135,0.22422702645895903,0.184505831497007,2.162019601397755,1.3122451805296576,0.3839975235024773,0.27255203728096333,0.09975281321803825,0.06346473929007282,1.7717658174242727,0.28366268198541505,-0.19706346088618013,0.01892646602538133,0.8312766422646741,0.9034692963556025,0.18489454869747,0.13925528292270495,0.29890166360937875,0.483193187122665,24.77777777777778,11.960841458487012,842.6509735113934,30.84607579839766,60.13422540915139,25.292894812798576,6.630598688195138,0.9879473500559218,,,0.9196017637615572,0.08164975462235949,5.545152462506495,4.778984674800092,,,4.665041434080791,26.484777886784332,78.15140301983924,18.800370420850204,3404.051313568856,635.7351068979773,0.0,0.0,0.0,0.0,26348.20362710394,13562.994213322527,1106.2054962989284,61.58837647459697,0.053384677250235595,0.029381479865409284
1804,1804.0,0.527777416536405,4.350672885303914,3.3316612319310988,0.44060454158112333,0.44953492695523517,0.07483791428817578,1.5192080642750727,0.34176231451405936,0.09100932375202163,2.2471817646993646,-0.19954364442827655,0.12104271010963855,0.06407316174751918,0.29074855930722704,42.0,896.6707115109862,432.7871556739128,4.967543465750357,349.16768180142856,0.6435437285555001,1.4713000922046535,,6.666623416412593,90.2568511080953,4015.942287049382,0.0,0.0,27027.666991049016,656.0101799017363,0.024271801932404774,1.2345942399507774,1.0477690582815804,4.269637327695936,4.30632827878969,2.6677511092340414,1.0630452414385547,0.8429691051078912,0.22761510694566411,0.1799056384980873,0.1691177359942,0.3463705529258722,0.16915195385113266,2.6415065081800053,0.9159229071970159,0.5708988589492625,0.15658631811875715,0.10846582006790545,0.10192266150017609,1.7319928391849464,0.40110964174325286,-0.19468365428891332,0.03018030550557082,1.1167555254968824,1.0083716723873941,0.262245729856904,0.14645148241701597,0.23253253425613188,0.43260507248895597,29.88235294117647,22.936952854038257,966.0709845877745,35.63617669214542,438.1795358437386,34.54946152783306,5.38429984094441,1.295889271054246,,,0.8646120500556114,0.2170789378638947,5.299818534836569,5.383226684753133,,,-4.863711071590115,28.740793091820116,76.82352795628684,20.239847892443667,3736.6590556229144,861.8014339823916,0.0,0.0,0.0,0.0,21254.28916123228,16800.890983258094,744.7446192390595,52.19494252963901,0.05900650823501419,0.03963518386633452
1805,1805.0,1.3377259892957478,0.9773117828030438,2.7672041500636317,0.9747507122024293,0.07995807031213964,0.4508083053300789,2.344942144907011,0.5735502463581441,0.03890022955794916,1.8398931341623317,-0.21534675281859061,0.7521579211794928,0.13783112895465469,0.02631467478845813,53.0,753.3969778847438,218.8500990266346,5.253699536593303,349.24126078691506,0.7427813420867831,7.379571243904524,,14.010580786101269,77.55732396358775,3726.7325067084375,0.0,0.0,38956.7417077597,760.1393785010202,0.01951239619071145,0.6790270537979387,0.5708037283829117,11.873871642397182,12.1885612711833,2.8256139848000177,1.0800003980037898,0.8468528061032384,0.1676481603017417,0.17547550225477157,0.12742169037402926,0.33602101350401997,0.1675180743811464,2.518371611507541,1.1687665405199272,0.5212960462565034,0.21362844052435043,0.0790866182887667,0.056384332537515604,1.7966397608333007,0.3259509089756602,-0.2032610257407136,0.016862099544873204,0.4760700093776293,0.4298020421034368,0.1642647612803911,0.12206203579179989,0.2441969104696334,0.3484623201625987,34.42857142857143,22.343788800451538,703.5581078370135,46.49850995732379,173.06661700770363,27.235729047850104,5.675095858995189,1.0983770416518437,,,0.7998043038832287,0.11738205252833897,5.865736333219499,5.275818991493282,,,14.26190915552151,26.526147958385206,74.59008823263453,20.062169010866526,4183.654664941693,1060.2648357194353,0.0,0.0,0.0,0.0,25082.083795491857,16265.633023279097,748.7511361954982,63.94013772468177,0.045539168351236496,0.030537882660546793
1806,1806.0,0.49268510368319174,15.637613750922718,2.0112378004698708,0.519715317523091,0.402708219638813,0.09503453746740859,1.7544981997050302,0.4300364627515024,0.19715739927898476,1.8223749307689086,-0.16798492310603796,0.21406567981150723,0.15545914377766426,0.38187160268636156,14.0,697.3981076339699,305.78552564372035,6.039073399134286,357.95071982264284,0.9066560914195001,5.107119939439071,,-40.14499665281682,69.04496987294834,3055.688989195874,0.0,0.0,7302.0706604870575,535.997245265306,0.07340345912642186,0.7132061251417204,0.6740023864158302,22.32794109868891,19.212986122996586,2.701673495207133,1.1266903811245292,0.8260411539522664,0.19420157733064963,0.192279565193567,0.13932205149130847,0.3159955100623377,0.16349045366819673,2.553508379739184,1.1954025697372037,0.5357699814552074,0.16720875358818688,0.09334386696907356,0.057093242050267744,1.7668207964182174,0.34332839294676604,-0.19896348017360319,0.017137432644139874,0.5097946310003892,0.6191955846910822,0.1813934504214981,0.1667979140525788,0.2955786071692823,0.4811198850318102,35.421052631578945,21.352470064124557,701.8861343882221,15.48284529846331,317.154808806531,19.69351210812099,7.390193009194154,1.348889072346357,,,0.9275134008072843,0.10766471032937779,7.6339805874622355,5.621632657487419,,,-1.6115117632778577,23.28976314475998,74.01057942533168,22.652331353624657,3408.036365667688,450.47183518063645,0.0,0.0,0.0,0.0,18778.644281852627,11782.929219691603,540.3288057712236,14.456304400172057,0.04591321107283244,0.03247412508057032
1807,1807.0,1.333652249509872,0.9913943939258915,5.67790582721267,0.5989193586812578,0.35701544889939835,0.11906951738370744,1.077811532585659,0.07219400631109407,0.1302751480182773,2.018801069311948,-0.18777141531053987,0.5510527088469881,0.19566819015509432,0.07423875956791978,24.0,1015.7075102654456,211.77227199020842,5.539609273274166,358.21414728687495,0.9303204419033543,2.4619967841707764,,22.463568904244767,82.46780462085243,5038.885208829937,0.0,0.0,26054.118752562492,1133.89875752594,0.04352090233005552,1.034033976201813,0.5882804185339664,7.788310763674529,8.337411215086787,3.4335485265749415,1.4400171408679303,0.7523192406406205,0.15522158219752344,0.2498045712237152,0.11653602505132896,0.23638971629913558,0.14776457032046408,1.631270559690869,0.6674476681260867,0.30375750877901403,0.20774224126242458,0.15104114900879917,0.01976877970837706,1.759181719902812,0.3049410475833934,-0.18160691641889465,0.005855518696191704,0.757140162317826,0.4092244266819607,0.3044846191460504,0.1255297569213524,0.673719396805495,1.1079250315797902,15.25,5.261891294962297,944.4723261108139,44.08857361219708,231.37021332828394,14.310440826722003,5.654942532773822,1.7600166381653655,,,0.80066384374131,0.1610639097512136,3.3769180686661535,1.0445552668969953,,,10.125024860455019,14.462945649641869,66.00638832523273,19.384315059677302,3324.4809238942157,1090.1956429438492,0.0,0.0,0.0,0.0,14691.530561044761,6684.907851731127,1003.0084274796852,79.20335437749507,0.07844137665448944,0.024205867789240554
1808,1808.0,0.2921932905498338,2.344613488637748,1.8972321011683373,0.9833643781276101,0.06476003683774478,0.4873629512504599,3.341724169750104,0.7007532790850357,0.15390846321697005,2.023553872822335,-0.1807417129348572,0.095516059608421,0.12980549189146412,0.32695517239625127,10.0,660.6543751950641,156.25823630794514,4.4163391113295,346.05542635675005,0.6805715814573999,,,-4.748120539357422,73.62379894381112,6245.0322387637025,0.0,0.0,6411.3917659516055,715.8573572421006,0.11165397208196497,0.6790270537979387,0.5708037283829117,11.873871642397182,12.1885612711833,2.8256139848000177,1.0800003980037898,0.8468528061032384,0.1676481603017417,0.17547550225477157,0.12742169037402926,0.33602101350401997,0.1675180743811464,2.518371611507541,1.1687665405199272,0.5212960462565034,0.21362844052435043,0.0790866182887667,0.056384332537515604,1.7966397608333007,0.3259509089756602,-0.2032610257407136,0.016862099544873204,0.4760700093776293,0.4298020421034368,0.1642647612803911,0.12206203579179989,0.2441969104696334,0.3484623201625987,34.42857142857143,22.343788800451538,703.5581078370135,46.49850995732379,173.06661700770363,27.235729047850104,5.675095858995189,1.0983770416518437,,,0.7998043038832287,0.11738205252833897,5.865736333219499,5.275818991493282,,,14.26190915552151,26.526147958385206,74.59008823263453,20.062169010866526,4183.654664941693,1060.2648357194353,0.0,0.0,0.0,0.0,25082.083795491857,16265.633023279097,748.7511361954982,63.94013772468177,0.045539168351236496,0.030537882660546793
1809,1809.0,0.33752342964136434,6.371362461847336,3.130405145707885,0.5067505076533527,0.41026459253160935,0.09149549820497963,1.0257846301578613,0.025136494932560205,0.07868850640804144,2.0780660977526013,-0.2032615255590866,0.04107292691685752,0.040036654858114154,0.3218583209060225,37.0,641.2430818811955,142.78909421582728,5.469326534788244,349.6985124660406,0.8034211242362298,1.3093839268541276,,50.04283566588574,97.2007672335353,3156.8165087686275,0.0,0.0,25164.01468955561,711.0902855654142,0.028258220889552814,0.6790270537979387,0.5708037283829117,11.873871642397182,12.1885612711833,2.8256139848000177,1.0800003980037898,0.8468528061032384,0.1676481603017417,0.17547550225477157,0.12742169037402926,0.33602101350401997,0.1675180743811464,2.518371611507541,1.1687665405199272,0.5212960462565034,0.21362844052435043,0.0790866182887667,0.056384332537515604,1.7966397608333007,0.3259509089756602,-0.2032610257407136,0.016862099544873204,0.4760700093776293,0.4298020421034368,0.1642647612803911,0.12206203579179989,0.2441969104696334,0.3484623201625987,34.42857142857143,22.343788800451538,703.5581078370135,46.49850995732379,173.06661700770363,27.235729047850104,5.675095858995189,1.0983770416518437,,,0.7998043038832287,0.11738205252833897,5.865736333219499,5.275818991493282,,,14.26190915552151,26.526147958385206,74.59008823263453,20.062169010866526,4183.654664941693,1060.2648357194353,0.0,0.0,0.0,0.0,25082.083795491857,16265.633023279097,748.7511361954982,63.94013772468177,0.045539168351236496,0.030537882660546793
