,Track_ID,alpha,D_fit,kurtosis,asymmetry1,asymmetry2,asymmetry3,AR,elongation,boundedness,fractal_dim,trappedness,efficiency,straightness,MSD_ratio,frames,X,Y,Quality,Mean_Intensity,SN_Ratio,Deff1,Deff2
501,501.0,0.6992565025139277,6.260897726961666,1.6904627433063444,0.43432859273524366,0.45334233280671415,0.07336670650634215,1.0216617254565667,0.02120244393699533,0.13924979693978917,1.9602606418604083,-0.18509700085980918,0.21334634540141578,0.12070753267835888,0.13675520252214415,22.0,866.4664616253059,53.160028943445816,,,,1.540433421051891,
502,502.0,8.513953366066911e-08,18.196759076477726,1.9107480998690516,0.998405293299685,0.019974856155926528,0.6191529258578232,6.480598225173247,0.8456932577434598,0.1862808197973731,1.9141927855531151,-0.17118006900021365,0.20301552168289413,0.13951769496419458,0.555298287146716,14.0,1014.0028820523063,70.40977979173752,,,,0.6862143772304018,
503,503.0,2.582152788325562e-07,25.872672569658715,2.7132514393984035,0.8340661101581459,0.21290741448162037,0.23642559490019743,1.7650320947734839,0.43343806440622523,0.04575464257103791,1.816980463143025,-0.213256184099323,0.1621395790805997,0.07325542836998544,1.2819924591739515,59.0,800.9500217857648,390.8755814085729,,,,3.9121759795915048,
504,504.0,1.3421314091744305,4.616932415919441,1.7879694133152035,0.99939754149892,0.012274364011679986,0.6463456501861815,6.452056946066394,0.8450106673950442,0.035545991743967074,1.187624851990504,-0.21637109434006097,3.101740290626129,0.6258583005165725,-0.07425184262739543,20.0,1007.6157373103752,69.86598529086895,,,,11.070601083041982,
505,505.0,0.9393175616131803,3.6664597066414566,3.5779899052709654,0.9485399366375978,0.11492205354545215,0.3784778055300524,2.0243774083335153,0.5060209643303575,0.03655651241311432,1.4925601928963437,-0.21606240335676907,0.9590645213915737,0.23239422098779966,0.004088877648896691,26.0,599.1137914448014,178.00654224370956,,,,3.2443790714875016,
506,506.0,1.083258806096412,3.2412279963455393,2.382441942030565,0.9895955397805586,0.051134482425652626,0.5233017254645803,4.396543882672234,0.7725486139371373,0.13586226600707596,1.5366967378550853,-0.18610576516444732,0.7102002793455421,0.35489032672048004,-0.1085501720299768,9.0,877.3390089329507,79.53049140452816,,,,,
507,507.0,0.9743804047518655,3.1371656897594953,1.9600757855963304,0.8976182772298842,0.16430470030796185,0.2978565221311183,1.6096084368652772,0.378730890633559,0.014618578729531527,1.6627472120062237,-0.2227815854382582,0.4501029117123992,0.09019335261515919,0.011194062744649597,117.0,611.5959113497141,337.488295260216,,,,2.72183061033071,3.0939910623364812
508,508.0,0.068139190279963,31.059967318815918,2.6961984981876066,0.9951531518999772,0.03485193599810698,0.5707739287897098,4.338387002774316,0.7694995860534067,0.028095037389957302,2.0051672457813705,-0.21864961097930213,0.1513444554978774,0.05088910846057255,0.15430276967362405,104.0,983.1588986759879,239.01432110810873,,,,2.6649894714376785,0.19110283526313984
509,509.0,7.659245030527701e-07,9.798248239247968,2.7596950108103475,0.9847228198077226,0.06203829987550649,0.49428932915645446,4.147182133176077,0.7588724179725957,0.06329565152653462,1.5106662092956196,-0.20792260796491102,0.013542139917722065,0.03436014759472888,1.9721329847320486,24.0,1014.4414181980001,70.06371013550012,,,,1.6371665141105005,
510,510.0,0.9637282371932012,4.8460576953364685,1.5216034540659433,0.9726176596248596,0.08331233128765138,0.4431957158151033,2.8158614892742717,0.6448688957858759,0.03433042542479924,1.8363980429672937,-0.21674252591052734,0.3933408711570518,0.10104145152178753,0.028043485663297084,65.0,868.4927306110105,62.81796361744334,,,,3.545346640437532,
511,511.0,0.1368856292206439,31.194591127543426,2.8995735497052415,0.9066131007238172,0.15654062014824371,0.30915858960619136,2.6431536526235817,0.6216640682211552,0.0936647106749857,2.0176967034233995,-0.19874387129151505,0.21309073897258213,0.10278820949985668,0.26610709658706816,34.0,989.663126087382,83.6903016291756,,,,4.180080681998271,
512,512.0,0.27388366304628303,18.120862669098795,2.2783720934606326,0.8254157733585277,0.21892980324291375,0.2297928525880359,1.96778086291851,0.49181333204102207,0.15435406705259813,1.5723564286947773,-0.18060956898352876,0.20669098697032837,0.16607760279737865,0.30317112289103376,11.0,805.6014042980562,392.2822653891604,,,,1.6502818343503705,
513,513.0,1.0239670436409205,0.6971617243700304,7.3160977921590655,0.7489102384070718,0.26862316438278483,0.18174157186173934,1.9726297373887771,0.4930624936620256,0.014424236161280012,1.7691392643991608,-0.22284127456054192,0.8989597169986371,0.11130232379323547,0.0016983752129407226,130.0,972.5333469678,95.27390282400764,,,,1.975981769481476,0.509673668459006
514,514.0,1.4220906204241752,2.6267095477697504,3.1966576111973093,0.9956138312940589,0.03315046905731792,0.5760498339502726,4.075542691716231,0.7546339038399583,0.06805381307568956,1.1547668408183893,-0.2064798729570434,3.159799864320382,0.6675408978859024,-0.10439940012441971,12.0,816.6161869581744,411.84348425097573,,,,6.847480141128398,
515,515.0,0.10218333352750712,12.136473373971953,1.8438872818438576,0.2960697286794735,0.5433541112653285,0.04475906416098215,1.5796293414038507,0.3669400955091918,0.23588418676347633,2.876061703330365,-0.15667900087051612,0.01630044952508641,0.04300857719091632,0.4191398506173081,11.0,933.6640186429653,225.99560216202946,,,,0.19113488605005008,
516,516.0,0.9092714464217474,5.897102244178516,2.3516377303865057,0.7495948027004438,0.268199877448175,0.18210562069159628,1.8425555795545803,0.4572755301950022,0.06377709490899224,1.7638270995866128,-0.20777654980031102,0.47157297242697543,0.1964575144951077,-0.006913210105849027,18.0,803.59110626994,391.26298324093887,,,,4.7176267102660026,
517,517.0,5.071146097105943e-07,40.75613582813839,1.8826436603128591,0.9684929685795065,0.08946140610114907,0.4296378990267759,2.5469432835001733,0.6073724898083575,0.07695617319263708,1.8911222773809502,-0.20378519076012047,0.11088965777818445,0.06571761659921493,0.7119331251306881,37.0,872.2355672457164,80.10652891574604,,,,6.83520731794277,
518,518.0,0.9545573606790717,24.33561011028399,1.849420247566049,0.9401531652609225,0.12420505150976131,0.36161235991951557,1.9835095083181191,0.49584310243718877,0.1912823054977425,1.4715531822347157,-0.16970972919988703,1.5847732673259025,0.46773016942488044,-0.03521969247854101,9.0,929.7378787526683,215.1167393987206,,,,,
