,AR,D_fit,Deff1,Deff2,MSD_ratio,Mean_Intensity,Quality,SN_Ratio,Track_ID,X,Y,alpha,asymmetry1,asymmetry2,asymmetry3,boundedness,efficiency,elongation,fractal_dim,frames,kurtosis,straightness,trappedness
72,5.150355956547076,1.9777003981725316,1.4688776394436271,,-0.04653811917375911,208.99023830025928,7.661453812211481,0.9858221510586297,72.0,184.63357176710798,1376.3304309173236,0.9217655754977321,0.9991433066638079,0.014637797772629217,0.6378317000869461,0.023874058276191084,2.8164011125335073,0.8058386627182902,1.3026906171299806,27.0,1.3112376994784642,0.3737028423942013,-0.2199422880909463
73,1.7527678416170134,2.491274764927064,0.5900508602524359,,2.374507895830093,207.58846329232352,7.213056227742647,1.030211712895647,73.0,182.14913015279947,1377.7964997743866,0.1532600751721925,0.7919612398879468,0.24133940534931092,0.20672906788355666,0.16023685498394932,0.07527729777967049,0.4294737863986302,2.054021965430498,17.0,1.7509023557439178,0.0788965117870462,-0.1788664122237098
74,4.37192209578329,0.6852379395148515,1.0213464657926843,,-0.03328159522068297,207.36987818388573,7.331523350307571,0.9858068914305572,74.0,185.95655894011463,1375.8527424939307,1.257414781606475,0.9984057965380151,0.019971701679361076,0.6191637483152093,0.01975779234175683,2.22426064630081,0.7712676534276541,1.378118531584113,35.0,1.7231911228127865,0.3114805240752981,-0.22120421732248574
75,12.89796735267161,0.11524956623938616,0.567310138293476,,-0.05405756730694411,214.640919158375,7.215740203858393,1.1355331661791073,75.0,94.85811037464708,1496.0939640943989,1.5958064046156755,0.9999329000210271,0.004095797549649237,0.6770279898045705,0.018552555367422303,3.323974150037156,0.9224684035354713,1.2896431040467855,28.0,3.284571230968288,0.39255777124593355,-0.22157395545544922
76,1.551352192494892,2.185878645114411,1.0341212519083003,,0.08655367373794398,207.82454780351665,7.4338546752931665,0.98553909269915,76.0,184.4657483910722,1381.4800879527882,0.6101972274057724,0.4759213553531961,0.42839539919384295,0.08345664099630126,0.05436080654113738,0.3660172369202579,0.35540104636601233,1.6731354312670674,30.0,2.5806885614253754,0.13401493810778675,-0.21063642961535134
77,2.195474663638572,0.7568990530885459,0.09783885636460987,,0.6014134582019313,204.58344733261765,7.326175016514704,0.9519096396203236,77.0,183.91088845543172,1383.470029194505,0.15176935766632757,0.8971063869072861,0.16473779097151775,0.2972394648593627,0.14179099370785872,0.18024322198437856,0.544517631397898,1.7092460897482882,17.0,2.073735928809949,0.12771289766426824,-0.1843408275099967
78,4.549494375223089,0.7463631974244421,0.5529516938614668,,0.009412491716014833,205.6719848566627,7.530266517816628,0.902431709101058,78.0,193.1061931576291,1346.4934157573398,0.9357780756270919,0.9989295739759964,0.016363062927759124,0.6317118723408776,0.027507671319153788,1.0136039680683426,0.7801953541373564,1.5049910485283318,43.0,1.9841718819927014,0.19438419886007313,-0.21882941007848222
79,1.5882082555932462,0.058998575525362675,0.47079117909508106,0.14244502007307475,0.024015695633862123,221.4878728156305,9.056841601355645,1.1572777154133662,79.0,961.7268071841147,1253.1775293447683,1.1708818087320716,0.37939482011364034,0.4875056889253395,0.06118562185794718,0.022757705912353817,0.22876601210530834,0.370359651211819,2.2943541800788094,295.0,3.8332448062933446,0.03647341626786422,-0.22028440082217027
80,2.016621430720814,0.012929118387315468,0.39090106164745636,0.12357051776468171,0.0777639330683722,234.0541911178598,10.923668121626825,1.013325613016841,80.0,741.514117582429,1115.6350777765642,1.4382455102217444,0.7521117558840941,0.2666410105515041,0.18345244890842874,0.04224175015636972,0.18946063115043194,0.5041211083219701,2.353240750788828,107.0,3.4903182027502884,0.0484566979475966,-0.21432715270193836
81,3.4813745841944956,0.37874090722310205,1.1336440980852518,,-0.00017676121232224756,254.4864658787541,14.950252845640163,1.1467960893836884,81.0,971.2550669679813,1500.89230529503,1.3798963474356323,0.98764752844624,0.05574351412054548,0.5107843667371772,0.014589090974396972,1.0456911210928228,0.7127571377868908,1.5001860266278857,61.0,2.218590344916347,0.16645036889000422,-0.2227906419295782
82,1.4374250568108644,0.29127027581602005,0.27160904999578395,0.22763687757552162,0.23891141858434728,224.69827314550002,9.910965834206383,0.975632807229756,82.0,904.8201048556407,1487.120470536689,0.9048546286653022,0.9452975278425622,0.11858736027957205,0.3717130339285759,0.02438090323893269,0.10904212497022434,0.3043115567926409,1.9110494399375684,123.0,6.167104849780636,0.040770194081239226,-0.2197869941387811
83,1.8031436203047353,1.403265561747779,0.3021290453127386,,0.20014145153555757,227.927519379775,8.007010650635749,1.058473108453025,83.0,966.3834756360741,1471.441248325456,0.3558564985402442,0.3804414270718004,0.48683866392916136,0.06140676864560304,0.11474376714062672,0.13331882963993738,0.44541300607491385,1.7557068744446893,20.0,3.3973448644010644,0.10853860501277501,-0.19241398119316733
84,2.125615056442076,0.3850886843133137,0.030385254618591883,,0.45803412257793213,220.12852713181996,7.9467617797856,1.2850850971018,84.0,760.4561224398457,1128.894406715651,1.0801747640197903e-06,0.6558886656224263,0.324117304761993,0.139577745123346,0.1608830952730468,0.12112743232855988,0.5295479315648843,2.0034555185876166,25.0,3.3945532424884433,0.11393502785929881,-0.1786750786673985
85,2.3078265714276793,0.0738039514895927,0.49085891333734527,,0.028308830259886283,231.47362327596107,11.29246213838526,1.1728257911982338,85.0,753.3276444453371,1129.122938066228,1.3905558621780403,0.8934672360291386,0.16779142210321168,0.2929278603195546,0.02334598621928607,0.5496508655990759,0.5666918769457728,1.712706636064299,77.0,2.7886502182519646,0.10939624961701862,-0.22010410691493965
86,1.180044518726717,0.7259698638178859,0.2008728077979966,0.051268331659204656,0.07084453138978616,215.29832458113546,8.528005784558095,0.9206892837018775,86.0,900.721148538687,1482.6813723677565,0.4335719542803487,0.5235215163984867,0.4004961057684039,0.09609246779922742,0.031163959366841874,0.1107744848189322,0.15257434433150652,2.2101965234835776,155.0,1.8994680104041688,0.03426739646391335,-0.21771061205211928
87,3.093421356942156,2.084533083010731,2.1461242431246594,,-0.04223580262243987,206.92558139544,7.357257385253201,0.9235452144811,87.0,841.5649677660062,1057.806634479242,0.9916550792983654,0.9901885264539444,0.0496485227664582,0.5274197567988003,0.03726143962665151,3.053755466480607,0.6767333367774706,1.22145064812375,25.0,2.2857285329591885,0.5392342633266324,-0.21584711058094674
