,Track_ID,alpha,D_fit,kurtosis,asymmetry1,asymmetry2,asymmetry3,AR,elongation,boundedness,fractal_dim,trappedness,efficiency,straightness,MSD_ratio,frames,X,Y,Quality,Mean_Intensity,SN_Ratio,Deff1,Deff2,Mean alpha,Std alpha,Mean D_fit,Std D_fit,Mean kurtosis,Std kurtosis,Mean asymmetry1,Std asymmetry1,Mean asymmetry2,Std asymmetry2,Mean asymmetry3,Std asymmetry3,Mean AR,Std AR,Mean elongation,Std elongation,Mean boundedness,Std boundedness,Mean fractal_dim,Std fractal_dim,Mean trappedness,Std trappedness,Mean efficiency,Std efficiency,Mean straightness,Std straightness,Mean MSD_ratio,Std MSD_ratio,Mean frames,Std frames,Mean X,Std X,Mean Y,Std Y,Mean Quality,Std Quality,Mean Mean_Intensity,Std Mean_Intensity,Mean SN_Ratio,Std SN_Ratio,Mean Deff1,Std Deff1,Mean Deff2,Std Deff2
0,0.0,0.7903356712213653,13.07898237821926,2.131398806314486,0.3056134597379001,0.5366345666461199,0.046530844958596315,1.0787598084952534,0.07300958737526042,0.19814418932776995,1.9175932995680605,-0.16769547151289088,0.6358124199804026,0.2526497012696541,0.11684217514422043,14.0,168.54063268575453,2031.939465592678,11.127960205070716,336.3405315614286,1.4877101566229283,8.226114946615981,,0.7402700534141664,0.8440584684744044,32.78209116102816,23.07839909554711,2.2209582018077096,0.5740214482386663,0.3843304430441276,0.29177904437047136,0.49714144528775395,0.2017002175767436,0.10234377839542932,0.13182108481697624,1.437566419809551,0.6893854740696757,0.1968194425964739,0.22444814202132507,0.17056152505534863,0.08558171074034254,1.8072975523746837,0.18694802160306717,-0.17608355207560566,0.025084767129093195,0.6573122776670175,0.7046374370904509,0.22778808915852483,0.12152622787647285,0.21838492618261557,0.1644276341718248,16.6,7.939773296511683,178.6746139351353,5.577654041679241,2026.349816982627,4.29392950715245,10.487782759891115,1.324508489142397,,,1.195120423325323,0.16084932407247532,15.875668280925154,10.75502165435256,1.1228781024521115,0.0
1,1.0,0.2852400476339273,32.90937716805487,1.7946400802271403,0.09759112801140431,0.7238304524960668,0.012916182673603236,1.123658947427215,0.11005024941985342,0.31990447241875636,1.90719265480387,-0.13252493258757458,0.2959798617640338,0.22157236825761067,0.3670319482125508,9.0,178.77082092704495,2019.3081003169054,11.83868916829,332.4422911284999,1.162604294329,,,0.7402700534141664,0.8440584684744044,32.78209116102816,23.07839909554711,2.2209582018077096,0.5740214482386663,0.3843304430441276,0.29177904437047136,0.49714144528775395,0.2017002175767436,0.10234377839542932,0.13182108481697624,1.437566419809551,0.6893854740696757,0.1968194425964739,0.22444814202132507,0.17056152505534863,0.08558171074034254,1.8072975523746837,0.18694802160306717,-0.17608355207560566,0.025084767129093195,0.6573122776670175,0.7046374370904509,0.22778808915852483,0.12152622787647285,0.21838492618261557,0.1644276341718248,16.6,7.939773296511683,178.6746139351353,5.577654041679241,2026.349816982627,4.29392950715245,10.487782759891115,1.324508489142397,,,1.195120423325323,0.16084932407247532,15.875668280925154,10.75502165435256,1.1228781024521115,0.0
2,2.0,0.02094812278903492,60.30833834697099,2.028743888327663,0.3528483236910368,0.5046751222426894,0.05570640661689387,1.0917886971364408,0.08407185142801488,0.09265421000890008,1.9922168237376565,-0.19904816003319037,0.19247834561438332,0.09651699169831757,0.27471192876469464,32.0,179.69893335816369,2029.1537208793136,8.440563201908438,320.3422965115,1.0261862846656875,8.751054275252333,1.1228781024521115,0.7402700534141664,0.8440584684744044,32.78209116102816,23.07839909554711,2.2209582018077096,0.5740214482386663,0.3843304430441276,0.29177904437047136,0.49714144528775395,0.2017002175767436,0.10234377839542932,0.13182108481697624,1.437566419809551,0.6893854740696757,0.1968194425964739,0.22444814202132507,0.17056152505534863,0.08558171074034254,1.8072975523746837,0.18694802160306717,-0.17608355207560566,0.025084767129093195,0.6573122776670175,0.7046374370904509,0.22778808915852483,0.12152622787647285,0.21838492618261557,0.1644276341718248,16.6,7.939773296511683,178.6746139351353,5.577654041679241,2026.349816982627,4.29392950715245,10.487782759891115,1.324508489142397,,,1.195120423325323,0.16084932407247532,15.875668280925154,10.75502165435256,1.1228781024521115,0.0
3,3.0,2.351979960423521,1.5531184967057547,3.33988702528883,0.9416088476081277,0.12263848278008715,0.36439715436008374,2.8159373313887524,0.6448784605917263,0.0850998698718072,1.4676993825907463,-0.20132542210643734,2.0235377211835317,0.4416000030701175,-0.05041781472773668,14.0,180.81767079699716,2026.8104730248342,11.598475864948572,332.2524916945,1.2202773838154286,34.3141808608627,,0.7402700534141664,0.8440584684744044,32.78209116102816,23.07839909554711,2.2209582018077096,0.5740214482386663,0.3843304430441276,0.29177904437047136,0.49714144528775395,0.2017002175767436,0.10234377839542932,0.13182108481697624,1.437566419809551,0.6893854740696757,0.1968194425964739,0.22444814202132507,0.17056152505534863,0.08558171074034254,1.8072975523746837,0.18694802160306717,-0.17608355207560566,0.025084767129093195,0.6573122776670175,0.7046374370904509,0.22778808915852483,0.12152622787647285,0.21838492618261557,0.1644276341718248,16.6,7.939773296511683,178.6746139351353,5.577654041679241,2026.349816982627,4.29392950715245,10.487782759891115,1.324508489142397,,,1.195120423325323,0.16084932407247532,15.875668280925154,10.75502165435256,1.1228781024521115,0.0
4,4.0,0.25284646500298336,56.06063941518997,1.8101212088804275,0.2239904561721694,0.5979286022738066,0.03216830336796941,1.0776873146000934,0.07208706416751454,0.15700488364950957,1.7517856011730848,-0.17982377413793516,0.13875303979273634,0.12660138149692443,0.38375639351934854,14.0,185.54501190771623,2024.537325099404,9.433225359237856,324.04042081949996,1.0788239971935714,12.2113230409696,,0.7402700534141664,0.8440584684744044,32.78209116102816,23.07839909554711,2.2209582018077096,0.5740214482386663,0.3843304430441276,0.29177904437047136,0.49714144528775395,0.2017002175767436,0.10234377839542932,0.13182108481697624,1.437566419809551,0.6893854740696757,0.1968194425964739,0.22444814202132507,0.17056152505534863,0.08558171074034254,1.8072975523746837,0.18694802160306717,-0.17608355207560566,0.025084767129093195,0.6573122776670175,0.7046374370904509,0.22778808915852483,0.12152622787647285,0.21838492618261557,0.1644276341718248,16.6,7.939773296511683,178.6746139351353,5.577654041679241,2026.349816982627,4.29392950715245,10.487782759891115,1.324508489142397,,,1.195120423325323,0.16084932407247532,15.875668280925154,10.75502165435256,1.1228781024521115,0.0
5,5.0,1.6137690302932153,0.6264249763887405,1.4623412324477463,0.9380617782858488,0.12642589245961033,0.35770597412400174,2.57943081338456,0.6123175722290974,0.04469214841639766,1.298941429425474,-0.21358000492760998,3.0381973236324353,0.543589099350067,-0.0966848988010566,15.0,98.52300310454143,2002.7275728963066,3.052007039387333,287.5953488370667,0.5459739202532933,2.524773987482936,,1.6137690302932153,0.0,0.6264249763887405,0.0,1.4623412324477463,0.0,0.9380617782858488,0.0,0.12642589245961033,0.0,0.35770597412400174,0.0,2.57943081338456,0.0,0.6123175722290974,0.0,0.04469214841639766,0.0,1.298941429425474,0.0,-0.21358000492760998,0.0,3.0381973236324353,0.0,0.543589099350067,0.0,-0.0966848988010566,0.0,15.0,0.0,98.52300310454143,0.0,2002.7275728963066,0.0,3.052007039387333,0.0,,,0.5459739202532933,0.0,2.524773987482936,0.0,,
6,6.0,0.09251896399546881,97.48981390303321,3.545250705936929,0.12059735129198365,0.6960474205366647,0.01618886173001156,1.355724958233585,0.2623872608328093,0.1168400806021757,1.7164068838201543,-0.19178630346547498,0.12204461885167688,0.09399407933690063,0.5091114146366001,24.0,528.5232979630584,1869.9212968294846,6.271169026691041,315.45171188629166,1.0111288367683124,13.25724951242193,,0.17289490559828505,0.08037594160281623,65.43031277375343,32.05950112927978,2.8839364570823376,0.6613142488545913,0.4822594109342496,0.36166205964226594,0.45097822102019397,0.24506919951647071,0.13028508796919228,0.1140962262391807,1.9032626132318464,0.5475376549982615,0.42717863723987604,0.16479137640706676,0.14559076739276972,0.02875068679059401,1.9336163068454537,0.21720942302529933,-0.18324189545413871,0.008544408011336269,0.08775447098655245,0.03429014786512443,0.09161778364403658,0.0023762956928640375,0.32651602002855773,0.1825953946080424,17.0,7.0,542.6324562019564,14.109158238897976,1875.1668409185818,5.2455440890972795,6.540099589028521,0.2689305623374798,,,1.0038614558316064,0.0072673809367060915,13.25724951242193,0.0,,
7,7.0,6.317233764711816,0.00014651182694811978,4.762604150472768,0.9899670852557347,0.05020847105463532,0.525863172760471,7.496635483744625,0.8666068261997857,0.06827507126580953,1.0175957251008814,-0.20641282660782423,2.2555827622751954,0.9646821604614065,-0.07313887149896164,9.0,781.0745676313832,1932.4492432758716,3.0038079155794444,295.31739879416665,0.6495149624975,,,6.317233764711816,0.0,0.00014651182694811978,0.0,4.762604150472768,0.0,0.9899670852557347,0.0,0.05020847105463532,0.0,0.525863172760471,0.0,7.496635483744625,0.0,0.8666068261997857,0.0,0.06827507126580953,0.0,1.0175957251008814,0.0,-0.20641282660782423,0.0,2.2555827622751954,0.0,0.9646821604614065,0.0,-0.07313887149896164,0.0,9.0,0.0,781.0745676313832,0.0,1932.4492432758716,0.0,3.0038079155794444,0.0,,,0.6495149624975,0.0,,,,
8,8.0,0.25327084720110127,33.370811644473655,2.2226222082277465,0.8439214705765156,0.20590902150372326,0.24438131420837297,2.450800268230108,0.5919700136469428,0.17434145418336372,2.150825729870753,-0.17469748744280245,0.053464323121428015,0.08924148795117255,0.14392062542051537,10.0,556.7416144408544,1880.4123850076792,6.8090301513660005,317.3302325582,0.9965940748949003,,,0.17289490559828505,0.08037594160281623,65.43031277375343,32.05950112927978,2.8839364570823376,0.6613142488545913,0.4822594109342496,0.36166205964226594,0.45097822102019397,0.24506919951647071,0.13028508796919228,0.1140962262391807,1.9032626132318464,0.5475376549982615,0.42717863723987604,0.16479137640706676,0.14559076739276972,0.02875068679059401,1.9336163068454537,0.21720942302529933,-0.18324189545413871,0.008544408011336269,0.08775447098655245,0.03429014786512443,0.09161778364403658,0.0023762956928640375,0.32651602002855773,0.1825953946080424,17.0,7.0,542.6324562019564,14.109158238897976,1875.1668409185818,5.2455440890972795,6.540099589028521,0.2689305623374798,,,1.0038614558316064,0.0072673809367060915,13.25724951242193,0.0,,
9,9.0,0.5243576243795717,20.636492225063883,3.166030194053309,0.8092706483029763,0.2299046810926493,0.21818968727769444,2.024692138180367,0.5060977512864149,0.1345479832257113,1.8353233401217317,-0.18649737328117433,0.2781030621828703,0.18309680504462864,0.011783780621116874,11.0,1065.3072392267395,1917.8111552075545,5.08208951083,326.2389006344545,0.866977983504182,4.062216130927897,,1.188624961598256,0.6083202464201367,19.664122801788395,18.002181854229118,2.588169883630624,0.7104475754698357,0.7068770588844754,0.23197454571586465,0.2748899727933383,0.16506465868037853,0.2379291528693497,0.18312504749784012,1.9789959362974905,1.098971995180247,0.3737347588231135,0.23108075051192759,0.11428252486196655,0.07774067640501446,1.5273931620536996,0.19525335586269527,-0.19277829079684905,0.02310633981495645,1.4408648577489462,1.5149528287787613,0.32782561975875296,0.1630077378047497,0.059396122809593194,0.17054958667131753,16.333333333333332,5.497474167490214,1059.6605026177078,8.79437870391975,1859.0660136570743,43.456366477069345,5.384411733522422,0.9176271233789167,,,0.8719291061885599,0.11965606126424172,22.916004196535898,20.2632896893586,36.18055626376169,0.0
